Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:17:55.432,,14.1742217877105,,,0.0139432768611111,13.8744438464167,,,3.8002021438573,,0.51204560663231,18,
18-09-2020 18:17:55.477,,,,,,,1176,,,,,,
18-09-2020 18:17:55.524,,,,-0.352941176470588,,,,,,64.7058823529412,,,
18-09-2020 18:17:55.569,,14.316967897221,,,0.0146295323611111,13.8751301019167,,,3.79126692830501,,0.508637416108905,18,
18-09-2020 18:17:55.614,,,,,,,1160,,,,,,
18-09-2020 18:17:55.657,,,,-0.352941176470588,,,,,,64.7058823529412,,,
18-09-2020 18:17:55.710,,14.4528763914415,,,0.0153342858611111,13.8758348554167,,,3.78689423120743,,0.506969522959322,18,
18-09-2020 18:17:55.756,,,,,,,1206,,,,,,
18-09-2020 18:17:55.777,,,,-0.4,,,,,,60,,,
18-09-2020 18:17:55.798,,14.5549558824963,,,0.0157972161111111,13.8762977856667,,,4.42699731676451,,0.555194568047411,19,
18-09-2020 18:17:55.870,,,,,,,1157,,,,,,
18-09-2020 18:17:55.914,,,,-0.458823529411765,,,,,,54.1176470588235,,,
18-09-2020 18:17:55.958,,14.730210005114,,,0.0166436798333333,13.8771442493889,,,4.35113046934728,,0.527779471949883,19,
18-09-2020 18:17:56.004,,,,,,,1206,,,,,,
18-09-2020 18:17:56.048,,,,-0.564705882352941,,,,,,43.5294117647059,,,
18-09-2020 18:17:56.094,,14.8677542380392,,,0.0173582455555556,13.8778588151111,,,4.35636317845014,,0.529670353511316,19,
18-09-2020 18:17:56.114,,,,,,,1205,,,,,,
18-09-2020 18:17:56.159,,,,-0.6,,,,,,40,,,
18-09-2020 18:17:56.207,,14.9757048591463,,,0.0179532938888889,13.8784538634444,,,4.43956312248207,,0.559735323107327,19,
18-09-2020 18:17:56.252,,,,,,,1190,,,,,,
18-09-2020 18:17:56.270,,,,-0.658823529411765,,,,,,34.1176470588235,,,
18-09-2020 18:17:56.329,,15.0861842455887,,,0.0185961631111111,13.8790967326667,,,2.89058608438793,,0,19,
18-09-2020 18:17:56.371,,,,,,,1176,,,,,,
18-09-2020 18:17:56.416,,,,-0.682352941176471,,,,,,31.7647058823529,,,
