Device time,"Average speed (km/h)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
26-09-2020 16:09:02.604,,,,,957,,,,
26-09-2020 16:09:02.806,,,,,,,1.23157268764949,21,
26-09-2020 16:09:03.010,,-0.04325,,,,97,,,
26-09-2020 16:09:03.205,,,,,948,,,,
26-09-2020 16:09:03.335,,,0.00279207586111111,0.00279207586111111,,,1.28827158128842,19,
26-09-2020 16:09:03.466,,-0.04325,,,,97,,,
26-09-2020 16:09:03.597,,,,,935,,,,
26-09-2020 16:09:03.729,42.5466401534884,,0.00465076141666667,0.00465076141666667,,,1.30990380700435,17,
26-09-2020 16:09:03.855,,-0.04325,,,,97,,,
26-09-2020 16:09:03.984,,,,,924,,,,
26-09-2020 16:09:04.112,29.4600120163085,,0.00635118497222222,0.00635118497222222,,,1.29952040215332,16,
26-09-2020 16:09:04.238,,-0.04325,,,,97,,,
26-09-2020 16:09:04.367,,,,,916,,,,
26-09-2020 16:09:04.496,24.6694145121256,,0.00795327122222222,0.00795327122222222,,,-0.986323208409976,15,
26-09-2020 16:09:04.625,,-0.04325,,,,97,,,
26-09-2020 16:09:04.753,,,,,907,,,,
26-09-2020 16:09:04.885,21.9913963922103,,0.00946568344444444,0.00946568344444444,,,-0.896448719830709,14,
26-09-2020 16:09:05.015,,-0.04325,,,,97,,,
26-09-2020 16:09:05.152,,,,,892,,,,
26-09-2020 16:09:05.281,19.95838385475,,0.0107851757777778,0.0107851757777778,,,-0.895094053224971,12,
26-09-2020 16:09:05.412,,-0.04325,,,,97,,,
26-09-2020 16:09:05.548,,,,,879,,,,
26-09-2020 16:09:05.680,18.4325297666024,,0.0120054665833333,0.0120054665833333,,,-0.885632538490883,11,
26-09-2020 16:09:05.811,,-0.04325,,,,97,,,
26-09-2020 16:09:05.941,,,,,889,,,,
26-09-2020 16:09:06.070,17.3738922476049,,0.0131954533055556,0.0131954533055556,,,-0.70609985828011,11,
26-09-2020 16:09:06.199,,-0.04325,,,,97,,,
26-09-2020 16:09:06.371,,,,,893,,,,
26-09-2020 16:09:06.643,16.0959161324676,,0.0147876610833333,0.0147876610833333,,,-0.632053531748589,10,
26-09-2020 16:09:06.912,,-0.04325,,,,97,,,
26-09-2020 16:09:07.114,,,,,913,,,,
26-09-2020 16:09:07.305,15.2455542981652,,0.0168118761944444,0.0168118761944444,,,,11,
26-09-2020 16:09:07.434,,-0.03325,,,,98,,,
26-09-2020 16:09:07.564,,,,,869,,,,
26-09-2020 16:09:07.695,14.8659703939193,,0.0180029036388889,0.0180029036388889,,,,11,
26-09-2020 16:09:07.828,,-0.03325,,,,98,,,
26-09-2020 16:09:07.963,,,,,896,,,,
26-09-2020 16:09:08.107,14.6186345192584,,0.0193754923055556,0.0193754923055556,,,,12,
26-09-2020 16:09:08.233,,-0.02325,,,,99,,,
26-09-2020 16:09:08.363,,,,,917,,,,
26-09-2020 16:09:08.495,14.4967432967195,,0.0207786790833333,0.0207786790833333,,,0.44978268120062,13,
26-09-2020 16:09:08.623,,-0.02325,,,,99,,,
26-09-2020 16:09:08.754,,,,,937,,,,
26-09-2020 16:09:08.883,14.3920979830705,,0.02217957425,0.02217957425,,,0.352012317840314,13,
26-09-2020 16:09:09.016,,-0.02325,,,,99,,,
26-09-2020 16:09:09.146,,,,,945,,,,
26-09-2020 16:09:09.272,14.3010092386202,,0.0235819149444444,0.0235819149444444,,,0.352375448880513,13,
26-09-2020 16:09:09.462,,-0.02325,,,,99,,,
26-09-2020 16:09:09.690,,,,,983,,,,
26-09-2020 16:09:09.826,14.1899750863242,,0.0255822014722222,0.0255822014722222,,,0.161610886636822,13,
26-09-2020 16:09:10.049,,-0.02325,,,,99,,,
26-09-2020 16:09:10.261,,,,,990,,,,
26-09-2020 16:09:10.447,14.1733838654002,,0.0279967705833333,0.0279967705833333,,,0.142370218000068,14,
26-09-2020 16:09:10.578,,-0.03325,,,,98,,,
26-09-2020 16:09:10.712,,,,,983,,,,
26-09-2020 16:09:10.908,14.2237308207908,,0.0299183601666667,0.0299183601666667,,,0.274442586797463,15,
26-09-2020 16:09:11.041,,-0.03325,,,,98,,,
26-09-2020 16:09:11.176,,,,,958,,,,
26-09-2020 16:09:11.347,14.2663243025502,,0.03175048225,0.03175048225,,,0.267651504294597,15,
26-09-2020 16:09:11.616,,-0.03325,,,,98,,,
26-09-2020 16:09:11.887,,,,,940,,,,
26-09-2020 16:09:12.158,14.3337312296039,,0.0351291980833333,0.0351291980833333,,,0.238175207122281,15,
26-09-2020 16:09:12.296,,-0.04325,,,,97,,,
26-09-2020 16:09:12.431,,,,,902,,,,
26-09-2020 16:09:12.562,14.3629152360568,,0.0368124035,0.0368124035,,,0.131295070840623,15,
26-09-2020 16:09:12.693,,-0.04325,,,,97,,,
26-09-2020 16:09:12.826,,,,,897,,,,
26-09-2020 16:09:12.955,14.3889015220379,,0.0384475989166667,0.0384475989166667,,,0,15,
26-09-2020 16:09:13.083,,-0.04325,,,,97,,,
26-09-2020 16:09:13.227,,,,,878,,,,
26-09-2020 16:09:13.358,14.3732484551273,,0.0400167858055555,0.0400167858055555,,,-0.138142188915146,14,
26-09-2020 16:09:13.488,,-0.04325,,,,97,,,
26-09-2020 16:09:13.622,,,,,876,,,,
26-09-2020 16:09:13.752,14.3591283199713,,0.0415490978611111,0.0415490978611111,,,-0.174266636848948,14,
26-09-2020 16:09:13.885,,-0.04325,,,,97,,,
26-09-2020 16:09:14.022,,,,,881,,,,
26-09-2020 16:09:14.150,14.3459038596166,,0.0430969868611111,0.0430969868611111,,,-0.174931119472259,14,
26-09-2020 16:09:14.283,,-0.04325,,,,97,,,
26-09-2020 16:09:14.450,,,,,930,,,,
26-09-2020 16:09:14.668,14.330092322463,,0.0451120788055555,0.0451120788055555,,,-0.162087765104589,14,
26-09-2020 16:09:14.937,,-0.03325,,,,98,,,
26-09-2020 16:09:15.208,,,,,1081,,,,
26-09-2020 16:09:15.387,14.5488115807295,,0.0487031478055555,0.0487031478055555,,,0.547748442233557,18,
26-09-2020 16:09:15.518,,-0.01325,,,,100,,,
26-09-2020 16:09:15.652,,,,,1253,,,,
26-09-2020 16:09:15.785,14.7232987712398,,0.0509171600277778,0.0509171600277778,,,0.819837536730566,20,
26-09-2020 16:09:15.917,,0.00674999999999997,,,,102,,,
26-09-2020 16:09:16.051,,,,,1378,,,,
26-09-2020 16:09:16.182,14.9482983204006,,0.0533447054166667,0.0533447054166667,,,1.09350443222224,22,
26-09-2020 16:09:16.314,,0.02675,,,,104,,,
26-09-2020 16:09:16.446,,,,,1527,,,,
26-09-2020 16:09:16.578,15.2483961644221,,0.0560902269444444,0.0560902269444444,,,1.60031426214968,25,
26-09-2020 16:09:16.708,,0.07675,,,,109,,,
26-09-2020 16:09:16.841,,,,,1670,,,,
26-09-2020 16:09:16.981,15.5954104053752,,0.0591121846944444,0.0591121846944444,,,1.5683160018732,27,
26-09-2020 16:09:17.112,,0.14675,,,,116,,,
26-09-2020 16:09:17.244,,,,,1824,,,,
26-09-2020 16:09:17.376,15.9728498282291,,0.0622970049722222,0.0622970049722222,,,1.57158760711391,29,
26-09-2020 16:09:17.505,,0.24675,,,,126,,,
26-09-2020 16:09:17.637,,,,,1994,,,,
26-09-2020 16:09:17.769,16.4096238817808,,0.06579347075,0.06579347075,,,1.75023154163111,32,
26-09-2020 16:09:17.901,,0.40675,,,,142,,,
26-09-2020 16:09:18.033,,,,,2199,,,,
26-09-2020 16:09:18.164,16.904541139411,,0.0696315921388889,0.0696315921388889,,,1.75091399461433,35,
26-09-2020 16:09:18.308,,0.63675,,,,165,,,
26-09-2020 16:09:18.442,,,,,2445,,,,
26-09-2020 16:09:18.574,17.5260254409778,,0.0741879388055555,0.0741879388055555,,,2.2662031590886,40,
26-09-2020 16:09:18.790,,1.04675,,,,206,,,
