°	0	375	1024	1895	2766	3700	3800	5379	6250	rpm
0	150	150	150	150	150	150	150	150	150
0.08	150	150	150	150	150	30	30	30	30
0.24	150	150	150	150	150	30	30	30	30
0.32	150	150	150	150	150	30	30	30	30
0.38	150	150	150	150	150	30	30	30	30
0.39	150	150	150	150	150	30	30	30	30
0.48	30	30	30	30	30	30	10	0	0
0.56	30	30	30	30	30	30	10	0	0
0.64	30	30	30	30	30	30	10	0	0
g
